TOM PETTY	RUNNIN' DOWN A DREAM
JOHN FOGERTY	CENTERFIELD
KENNY ROGERS	THE GAMBLER
PINK FLOYD	WISH YOU WERE HERE
PINK FLOYD	COMFORTABLY NUMB
MARC COHN	WALKING IN MEMPHIS
CAT STEVENS	IF YOU WANT TO SING OUT, SING OUT
THE LOVIN' SPOONFUL	DAYDREAM
LOOKING GLASS	BRANDY (YOU'RE A FINE GIRL)
BAD COMPANY	SHOOTING STAR (REMASTERED VERSION)
FLEETWOOD MAC	SAY YOU LOVE ME
GROVER WASHINGTON JR.	JUST THE TWO OF US (FEAT. BILL WITHERS)
SONNY & CHER	THE BEAT GOES ON
THE STATLER BROTHERS	FLOWERS ON THE WALL
PETER SCHILLING	MAJOR TOM (COMING HOME)
BLUE ÖYSTER CULT	(DON'T FEAR) THE REAPER
THE JIMI HENDRIX EXPERIENCE	ALL ALONG THE WATCHTOWER
THE CHARLIE DANIELS BAND	THE DEVIL WENT DOWN TO GEORGIA
THE DOORS	WHEN THE MUSIC'S OVER
THE ISLEY BROTHERS	THAT LADY, PTS. 1 & 2
THOMPSON TWINS	HOLD ME NOW
THE ISLEY BROTHERS	THAT LADY, PT. 1 (SINGLE VERSION)
U2	VERTIGO
ZZ TOP	TUSH (2006 REMASTER)
ELTON JOHN	GOODBYE YELLOW BRICK ROAD (REMASTERED 2014)
DAVID BOWIE	CHANGES (1999 DIGITAL REMASTER)
CHRIS BROWN	BEAUTIFUL PEOPLE (FEAT. BENNY BENASSI)
OF MONSTERS AND MEN	SIX WEEKS
AEROSMITH	MAMA KIN
THE ISLEY BROTHERS	SHOUT, PTS. 1 & 2
IMAGINE DRAGONS	WHATEVER IT TAKES
THE SCRIPT	NOTHING
KID INK	WALK IN THE CLUB
T-PAIN	BANG BANG POW POW (FEAT. LIL' WAYNE)
VANCE JOY	FIRE AND THE FLOOD
CUTTING CREW	(I JUST) DIED IN YOUR ARMS
HANSON	MMMBOP
CULTURE CLUB	KARMA CHAMELEON (REMASTERED 2002)
PINK FLOYD	PIGS (THREE DIFFERENT ONES)
BIG SEAN	MARVIN GAYE & CHARDONNAY
THE CARS	YOU'RE ALL I'VE GOT TONIGHT
ROXETTE	THE LOOK
JOHN CAFFERTY & THE BEAVER BROWN BAND	ON THE DARK SIDE
DEEP PURPLE	HUSH
THE YARDBIRDS	FOR YOUR LOVE (FEAT. ERIC CLAPTON)
THIN LIZZY	THE BOYS ARE BACK IN TOWN (REMIX)
MINNIE RIPERTON	LOVIN' YOU
BLONDIE	HEART OF GLASS (12" VERSION)
ANDY GIBB	I JUST WANT TO BE YOUR EVERYTHING
THE B-52'S	ROAM
NENA	99 LUFTBALLONS
THE DOORS	LOVE ME TWO TIMES
AVENGED SEVENFOLD	SIDEWINDER
THE TEMPTATIONS	MY GIRL
REO SPEEDWAGON	KEEP PUSHIN'
GEORGIA SATELLITES	KEEP YOUR HANDS TO YOURSELF
PEARL JAM	ALIVE
ELTON JOHN	SATURDAY NIGHT’S ALRIGHT (FOR FIGHTING) (REMASTERED 2014)
CHICAGO	SATURDAY IN THE PARK
SUPERTRAMP	GIVE A LITTLE BIT
ZZ TOP	GIMME ALL YOUR LOVIN'
ELECTRIC LIGHT ORCHESTRA	SWEET TALKIN' WOMAN
THE CARS	LET'S GO
MY CHEMICAL ROMANCE	NA NA NA (NA NA NA NA NA NA NA NA NA)
THE J. GEILS BAND	CENTERFOLD
DAWN	KNOCK THREE TIMES
WILD CHERRY	PLAY THAT FUNKY MUSIC
FRANKIE VALLI & THE FOUR SEASONS	DECEMBER, 1963 (OH, WHAT A NIGHT)
DEREK & THE DOMINOS	LAYLA
THIN LIZZY	THE BOYS ARE BACK IN TOWN
QUEEN	I WANT TO BREAK FREE (REMASTERED 2011)
STARSHIP	NOTHING'S GONNA STOP US NOW
NAKED EYES	ALWAYS SOMETHING THERE TO REMIND ME
MUNGO JERRY	IN THE SUMMERTIME
DARYL HALL & JOHN OATES	YOU MAKE MY DREAMS
DOLLY PARTON	9 TO 5
BILL MEDLEY	(I'VE HAD) THE TIME OF MY LIFE
JOAN JETT AND THE BLACKHEARTS	I HATE MYSELF FOR LOVING YOU
GROVER WASHINGTON, JR.	JUST THE TWO OF US
STEVE PERRY	OH SHERRIE
BOW WOW WOW	I WANT CANDY
ALANIS MORISSETTE	YOU OUGHTA KNOW (2015 REMASTER)
SHAWN MENDES	TREAT YOU BETTER
LENNY KRAVITZ	IT AIN'T OVER 'TIL IT'S OVER
FINE YOUNG CANNIBALS	SHE DRIVES ME CRAZY
BOB MARLEY & THE WAILERS	STIR IT UP
HUEY LEWIS AND THE NEWS	THE POWER OF LOVE
BOB MARLEY & THE WAILERS	THREE LITTLE BIRDS
QUEEN	YOU'RE MY BEST FRIEND (REMASTERED 2011)
MICHAEL JACKSON	WANNA BE STARTIN' SOMETHIN'
THE CRANBERRIES	DREAMS
THE GUESS WHO	NO TIME
THE COWSILLS	THE RAIN, THE PARK & OTHER THINGS (SINGLE VERSION)
THE WEEKND	PRAY FOR ME
HEAD EAST	NEVER BEEN ANY REASON
VARIOUS ARTISTS	THE BOYS ARE BACK IN TOWN
TOTO	ROSANNA
STEVIE WONDER	UPTIGHT (EVERYTHING'S ALRIGHT)
GWEN STEFANI	THE SWEET ESCAPE (FEAT. AKON)
HARRY BELAFONTE	BANANA BOAT (DAY-O)
