THE BEATLES                                                  |HEY JUDE (REMASTERED 2009)
MGMT                                                         |ELECTRIC FEEL (VIDEO MIX)
ALICE DEEJAY                                                 |BETTER OFF ALONE (VOCAL CLUB MIX)
AVICII                                                       |LEVELS (RADIO EDIT)
BREAKING BENJAMIN                                            |BLOW ME AWAY  (FEAT. VALORA)
DJ ENCORE                                                    |SEE RIGHT THROUGH YOU
THE BEATLES                                                  |HELLO, GOODBYE (REMASTERED 2009)
FOREIGNER                                                    |JUKE BOX HERO (REMIX)
PITBULL                                                      |SHAKE SENORA (FEAT. T-PAIN & SEAN PAUL)
TEARS FOR FEARS                                              |SHOUT (U.S. SINGLE EDIT)
FOO FIGHTERS                                                 |TIMES LIKE THESE
JERRY LEE LEWIS                                              |GREAT BALLS OF FIRE
PINK FLOYD                                                   |SHINE ON YOU CRAZY DIAMOND (PARTS I-VII)
UNK                                                          |WALK IT OUT (REMIX)
TAYLOR DAVIS                                                 |DEARLY BELOVED (KINGDOM HEARTS)
DEORRO                                                       |FIVE HOURS (RADIO EDIT)
KC & THE SUNSHINE BAND & TERI DESARIO                        |(SHAKE, SHAKE, SHAKE) SHAKE YOUR BOOTY (45 VERSION)
NICKY ROMERO                                                 |TOULOUSE
KID CUDI                                                     |PURSUIT OF HAPPINESS (NIGHTMARE) (FEAT. MGMT & RATATAT) (ALBUM VERSION (EDITED))
TECH N9NE                                                    |STRAIGHT OUT THE GATE
COLDPLAY                                                     |EVERY TEARDROP IS A WATERFALL
HARDWELL                                                     |APOLLO (HARDWELL'S CLUB LIFE EDIT)
COHEED & CAMBRIA                                             |THE BLACK RAINBOW
EMINEM                                                       |WHEN I'M GONE
FOREIGNER                                                    |FEELS LIKE THE FIRST TIME
SUGAR RAY                                                    |FLY (FEAT. SUPER CAT)
CARNAGE & BORGORE                                            |INCREDIBLE (RADIO EDIT)
KASKADE & DEADMAU5                                           |MOVE FOR ME
LMFAO                                                        |SHOTS
WIZ KHALIFA                                                  |SEE YOU AGAIN (FEAT. CHARLIE PUTH)
DOCTOR P                                                     |FLYING SPAGHETTI MONSTER
