CHILDISH GAMBINO                                             |BONFIRE
KID INK                                                      |WALK IN THE CLUB
REO SPEEDWAGON                                               |TAKE IT ON THE RUN
THE ROLLING STONES                                           |BROWN SUGAR (REMASTERED)
JOHN CAFFERTY                                                |ON THE DARK SIDE
THE BEATLES                                                  |HERE COMES THE SUN (REMASTERED 2009)
FUEL                                                         |HEMORRHAGE (IN MY HANDS)
DION                                                         |RUNAROUND SUE
AL GREEN                                                     |LET'S STAY TOGETHER
COHEED AND CAMBRIA                                           |THE PAVILION (A LONG WAY BACK)
COHEED AND CAMBRIA                                           |TIME CONSUMER
GLORIA GAYNOR                                                |I WILL SURVIVE
BEE GEES                                                     |STAYIN? ALIVE (SERBAN MIX)
ROXETTE                                                      |THE LOOK
THE POLICE                                                   |EVERY LITTLE THING SHE DOES IS MAGIC (REMASTERED 2003)
FLEETWOOD MAC                                                |RHIANNON
THE MIRACLES                                                 |I SECOND THAT EMOTION
RAY CHARLES                                                  |WHAT'D I SAY, PT. 1 & 2
GEORGE MICHAEL                                               |CARELESS WHISPER
CULTURE CLUB                                                 |KARMA CHAMELEON (REMASTERED 2002)
EURYTHMICS                                                   |SWEET DREAMS (ARE MADE OF THIS) (REMASTERED)
FINGER ELEVEN                                                |PARALYZER
DOLLY PARTON                                                 |9 TO 5
ELVIS PRESLEY                                                |HOUND DOG
NATASHA BEDINGFIELD                                          |POCKETFUL OF SUNSHINE
GROVER WASHINGTON JR.                                        |JUST THE TWO OF US
RICK ASTLEY                                                  |TOGETHER FOREVER
THE OUTFIELD                                                 |YOUR LOVE
DION                                                         |THE WANDERER
WHAM!                                                        |WAKE ME UP BEFORE YOU GO-GO
BARENAKED LADIES                                             |PINCH ME
VARIOUS ARTISTS                                              |ONE THING
CHUCK BERRY                                                  |JOHNNY B. GOODE
MAX MORATH                                                   |HELLO, MA BABY
DEAD OR ALIVE                                                |YOU SPIN ME ROUND (LIKE A RECORD)
RICK ASTLEY                                                  |TOGETHER FOREVER
RICK ASTLEY                                                  |TOGETHER FOREVER
CHRIS BROWN                                                  |YEAH 3X
CARLY RAE JEPSEN                                             |CALL ME MAYBE
JODI BENSON                                                  |PART OF YOUR WORLD (FROM "THE LITTLE MERMAID" / SOUNDTRACK VERSION)
NELLY FURTADO                                                |SAY IT RIGHT (MAIN)
MAROON 5                                                     |THIS LOVE
THE HEAVY                                                    |HOW YOU LIKE ME NOW
THE CHORDETTES                                               |MISTER SANDMAN
THE BLACK EYED PEAS                                          |PUMP IT
LED ZEPPELIN                                                 |THANK YOU (REMASTER)
LED ZEPPELIN                                                 |OVER THE HILLS AND FAR AWAY (2012 REMASTER)
MILEY CYRUS                                                  |PARTY IN THE U.S.A.
THE BLACK EYED PEAS                                          |I GOTTA FEELING
CHILDISH GAMBINO                                             |REDBONE
KATY PERRY                                                   |E.T.
MARVIN GAYE                                                  |SEXUAL HEALING
SHAWN MENDES                                                 |THERE'S NOTHING HOLDIN' ME BACK
STEVIE WONDER                                                |SUPERSTITION
THE BEATLES                                                  |LET IT BE (REMASTERED 2009)
JACKIE WILSON                                                |(YOUR LOVE KEEPS LIFTING ME) HIGHER & HIGHER
LOUIS ARMSTRONG                                              |WHAT A WONDERFUL WORLD
THE MONKEES                                                  |DAYDREAM BELIEVER
THE CARDIGANS                                                |LOVEFOOL
VANEESE THOMAS                                               |I WON'T SAY (I'M IN LOVE)
COMMODORES                                                   |EASY
BARRY WHITE                                                  |I'VE GOT SO MUCH TO GIVE
BEN E. KING                                                  |STAND BY ME
CAN'T HELP FALLING IN LOVE (AUDIO)                           |ELVIS PRESLEY
MARVIN GAYE                                                  |LET'S GET IT ON
BARRY WHITE                                                  |CAN'T GET ENOUGH OF YOUR LOVE, BABE
DEAN MARTIN                                                  |AIN'T THAT A KICK IN THE HEAD (1996 DIGITAL REMASTER)
FRANK SINATRA                                                |YOU MAKE ME FEEL SO YOUNG (REMASTERED 1998)
FRANK SINATRA                                                |THE WAY YOU LOOK TONIGHT
FRANK SINATRA                                                |STRANGERS IN THE NIGHT
FRANK SINATRA                                                |FLY ME TO THE MOON
FRANK SINATRA                                                |THE WAY YOU LOOK TONIGHT (REMASTERED 2008)
FRANK SINATRA                                                |COME FLY WITH ME (REMASTERED)
FRANK SINATRA                                                |THEME FROM NEW YORK, NEW YORK
FRANKIE VALLI                                                |CAN'T TAKE MY EYES OFF YOU
NO DOUBT                                                     |JUST A GIRL
BARENAKED LADIES                                             |ONE WEEK
MICHAEL BUBLÉ                                                |FEELING GOOD
FRANK SINATRA                                                |SOMETHIN' STUPID
WEEZER                                                       |BEVERLY HILLS
LIZ CALLAWAY                                                 |ONCE UPON A DECEMBER (FROM THE "ANASTASIA" SOUNDTRACK)
FRANK SINATRA                                                |BLUE MOON (1998 DIGITAL REMASTER)
THE FOUNDATIONS                                              |BUILD ME UP BUTTERCUP
ROGER BART                                                   |GO THE DISTANCE
SIXPENCE NONE THE RICHER                                     |KISS ME
NAT KING COLE                                                |L-O-V-E
FOO FIGHTERS                                                 |BEST OF YOU
THE CRANBERRIES                                              |DREAMS
MICHAEL BUBLÉ                                                |SWAY
JUSTIN TIMBERLAKE                                            |WHAT GOES AROUND... /... COMES AROUND (INTERLUDE)
THE CRANBERRIES                                              |LINGER
HARVEY DANGER                                                |FLAGPOLE SITTA
FRANK SINATRA                                                |MY WAY (REMASTERED 2008)
FOO FIGHTERS                                                 |LEARN TO FLY
VARIOUS ARTISTS                                              |HELENA
THE ALL-AMERICAN REJECTS                                     |MOVE ALONG
FALL OUT BOY                                                 |A LITTLE LESS SIXTEEN CANDLES, A LITTLE MORE "TOUCH ME"
GOOD CHARLOTTE                                               |THE ANTHEM
JASON WEAVER                                                 |I JUST CAN'T WAIT TO BE KING
GOO GOO DOLLS                                                |IRIS
TALLY HALL                                                   |HIDDEN IN THE SAND
ELTON JOHN                                                   |YOUR SONG
SAMUEL E. WRIGHT                                             |UNDER THE SEA (FROM "THE LITTLE MERMAID" / SOUNDTRACK VERSION)
EAGLE-EYE CHERRY                                             |SAVE TONIGHT
SEMISONIC                                                    |CLOSING TIME
MICHAEL BUBLÉ                                                |EVERYTHING
JUNGLE COLLECTION                                            |I JUST CAN'T WAIT TO BE KING (FROM "THE LION KING"/SOUNDTRACK VERSION)
JUDY KUHN                                                    |COLORS OF THE WIND (FROM "POCAHONTAS")
GRETA VAN FLEET                                              |MOUNTAIN OF THE SUN
JODI BENSON                                                  |PART OF YOUR WORLD (FROM "THE LITTLE MERMAID" / SOUNDTRACK VERSION)
KATY PERRY                                                   |FIREWORK
NATHAN LANE                                                  |HAKUNA MATATA (FROM "THE LION KING"/SOUNDTRACK)
VARIOUS ARTISTS                                              |CIRCLE OF LIFE (FROM "THE LION KING"/ SOUNDTRACK)
NICOLE SCHERZINGER                                           |WHERE YOU ARE
MICHAEL BUBLÉ                                                |HAVEN'T MET YOU YET
JUSTIN TIMBERLAKE                                            |MIRRORS
B.O.B                                                        |NOTHIN' ON YOU (FEAT. BRUNO MARS)
