T-PAIN                                                       |I'M SPRUNG
GERRY RAFFERTY                                               |RIGHT DOWN THE LINE
KENNY WAYNE SHEPHERD                                         |BLUE ON BLACK
AUDIOSLAVE                                                   |GETAWAY CAR
ERMA FRANKLIN                                                |HIGHER AND HIGHER
MADNESS                                                      |OUR HOUSE
THOMPSON TWINS                                               |DOCTOR! DOCTOR!
DON HENLEY                                                   |DIRTY LAUNDRY
ROBIN WILLIAMS (CHILDREN'S)                                  |FRIEND LIKE ME
ISIS                                                         |WRISTS OF KINGS
CAT STEVENS                                                  |PEACE TRAIN
STARSHIP                                                     |WE BUILT THIS CITY
EVERCLEAR                                                    |SANTA MONICA
SECONDHAND SERENADE                                          |FALL FOR YOU
DEPECHE MODE                                                 |JUST CAN'T GET ENOUGH
JACK JOHNSON                                                 |BIG SUR
GRITS                                                        |OOH AHH (MY LIFE BE LIKE) (FEAT. TOBY MAC)
THE BLACK KEYS                                               |SINISTER KID
ARCADE FIRE                                                  |NEIGHBORHOOD #1 (TUNNELS)
I AM GIANT                                                   |AND WE'LL DEFY
BROTHER ALI                                                  |BABY GIRL
JEM                                                          |IT'S AMAZING
FLIGHT OF THE CONCHORDS                                      |HURT FEELINGS
ALEX NEWELL                                                  |NOBODY TO LOVE
DUSTY SPRINGFIELD                                            |SON OF A PREACHER MAN
RICHARD M. SHERMAN & ROBERT B. SHERMAN (CHILDREN'S)          |SUPERCALIFRAGILISTICEXPIALIDOCIOUS
TECH N9NE                                                    |MAMA NEM
DATSIK & DOWNLINK                                            |SYNDROME
MSTRKRFT                                                     |BEARDS AGAIN
ONE DIRECTION                                                |WHAT MAKES YOU BEAUTIFUL
THE CASCADES                                                 |RHYTHM OF THE RAIN
DEATH CAB FOR CUTIE                                          |I WILL FOLLOW YOU INTO THE DARK
MULLAGE                                                      |TRICK'N (RADIO VERSION)
SHAKIRA                                                      |HIPS DON'T LIE
BUSH                                                         |GLYCERINE (ACOUSTIC) (LIVE)
ANBERLIN                                                     |CREEP
J.D. SOUTHER                                                 |EVERYDAY
BOBBY DARIN                                                  |SPLISH SPLASH
JOLIN TSAI & ALESSO                                          |PLAY (ALESSO REMIX VERSION)
CASCADA                                                      |EVERYTIME WE TOUCH
KENNY TAKITO PRES. CRASH & BURN                              |SUNRISE
OLIVIA NEWTON-JOHN                                           |PHYSICAL
NEO & FARINA                                                 |BINARY REFINED
ODESZA                                                       |SAY MY NAME (FEAT. ZYRA) (RAC MIX)
ALESSO                                                       |HEROES (WE COULD BE) (FEAT. TOVE LO) (BRANCHEZ REMIX)
JEREMIH                                                      |WANNA GET UP
LEN BARRY                                                    |1/2/2003
JASON DERULO                                                 |FIGHT FOR YOU
AUDIOSLAVE                                                   |LIKE A STONE
ONE DIRECTION                                                |STORY OF MY LIFE
SHOW BANGA                                                   |CHECK ME OUT (FEAT. IAMSU!)
BUBBLES                                                      |BIDIBODI BIDIBU
FADED PAPER FIGURES                                          |NORTH BY NORTH
TOM COCHRANE                                                 |LIFE IS A HIGHWAY
DEMI LOVATO                                                  |SKYSCRAPER
ANNA KENDRICK                                                |CUPS (PITCH PERFECT'S "WHEN I'M GONE")
RIO (SOUNDTRACK)                                             |TAKE YOU TO RIO
OTIS REDDING                                                 |(SITTIN' ON) THE DOCK OF THE BAY
NINA SIMONE                                                  |FEELING GOOD
PANIC! AT THE DISCO                                          |COLLAR FULL
SEASONS AFTER                                                |LIGHTS OUT
MY CHEMICAL ROMANCE                                          |THANK YOU FOR THE VENOM
RAMMSTEIN                                                    |ICH TU DIR WEH
WHAM!                                                        |EVERYTHING SHE WANTS
BREATHE CAROLINA                                             |GONE SO LONG
SHOWTEK & JUSTIN PRIME                                       |CANNONBALL (EARTHQUAKE) (KRYDER REMIX)
SLY & THE FAMILY STONE                                       |THANK YOU (FALETTINME BE MICE ELF AGIN)
THE ALLMAN BROTHERS BAND                                     |MELISSA
SILENTÓ                                                      |WATCH ME (WHIP / NAE NAE)
CIARA                                                        |1, 2 STEP
CHRIS BROWN                                                  |GIMME THAT
EIFFEL 65                                                    |MOVE YOUR BODY
REDNEX                                                       |COTTON EYE JOE
ELLIE GOULDING                                               |ANYTHING COULD HAPPEN
OASIS                                                        |SHE'S ELECTRIC
SUPERGRASS                                                   |KICK IN THE TEETH
KENNY WAYNE SHEPHERD                                         |SLOW RIDE
THE PRODIGY (DANCE)                                          |THUNDER
SPECIMEN A (DANCE)                                           |FREAK IN US
PENDULUM                                                     |BLOOD SUGAR
CROSBY, STILLS, NASH & YOUNG                                 |CARRY ON
BEYONCÉ                                                      |HALO
FLORENCE + THE MACHINE                                       |DOG DAYS ARE OVER
THE STROKES                                                  |BETWEEN LOVE & HATE
MATTHEW WILDER & DAVID ZIPPEL (CHILDREN'S)                   |A GIRL WORTH FIGHTING FOR
ALAN MENKEN (CHILDREN'S)                                     |JUST AROUND THE RIVERBEND
KRIZZ KALIKO                                                 |BACK PACK
GINO VANNELLI                                                |LIVING INSIDE MYSELF
THA ALKAHOLIKS                                               |MARY JANE
THE GANJA KRU                                                |NEW FRONTIERS
ELVIS PRESLEY                                                |BURNING LOVE
GLEN CAMPBELL                                                |WITCHITA LINEMAN
GLEN CAMPBELL                                                |WICHITA LINEMAN
THE MANHATTANS                                               |SHINING STAR
DION & THE BELMONTS                                          |THE WANDERER
MANFRED MANN                                                 |BLINDED BY THE LIGHT
LIONEL RICHIE                                                |EASY
THE LAUREL CANYON ANIMAL COMPANY                             |LAKE SHORE DRIVE
DAVID BOWIE                                                  |UNDER PRESSURE
JIM CROCE                                                    |I'LL HAVE TO SAY I LOVE YOU IN A SONG
DARYL HALL & JOHN OATES                                      |OUT OF TOUCH
TOM PETTY                                                    |REFUGEE
TOM PETTY                                                    |DON'T DO ME LIKE THAT
GEORGE HARRISON                                              |WHILE MY GUITAR GENTLY WEEPS (LIVE)
ROBBIE DUPREE                                                |STEAL AWAY
SILVER                                                       |ALL I WANNA DO
JIM CROCE                                                    |TIME IN A BOTTLE
FLEETWOOD MAC                                                |YOU MAKE LOVING FUN
BEN E. KING                                                  |THIS MAGIC MOMENT
FLEETWOOD MAC                                                |SILVER SPRINGS
RAY CHARLES                                                  |HIT THE ROAD JACK (LIVE)
GEORGE HARRISON                                              |ALL THOSE YEARS AGO
DION & THE BELMONTS                                          |I WONDER WHY
FLEETWOOD MAC                                                |GYPSY
HARRY BELAFONTE                                              |ANGELINA
